0;0;0;0;0;0;0;0;;;;#;Evento;T Inicial;T Final;A;C;FN;FM;FD;D
0,022;-0,007809378;0,079319062;1,029067278;-0,73448;-1,45359;9,09803;0;Fecha;1/08/2016;;1;FN;21,57;24,88;8;13;10;4;0;5
0,023;-0,004026504;0,07614577;1,050300714;-0,73448;-1,45359;9,09803;0;Hora;12:03-12:09;;2;GD;26,4;29,48;;;;;;
0,064;0,031971458;0,076390418;0,963049949;-0,73448;-1,45359;9,09803;0;Ruta;M80;;3;A;33,07;34,99;;;;;;
0,103;-0,054180428;0,065651376;1,12608053;-0,65394;-1,609;9,32455;0;Trayecto;MN - Jave;;4;FM;38,46;40,02;;;;;;
0,143;-0,077610601;0,051130479;1,032606524;-0,60054;-1,66886;9,54841;0;;;;5;A;45,41;46,69;;;;;;
0,183;0,007565749;0,096890928;1,021135576;-0,53149;-1,67153;9,76712;0;;;;6;C;47,65;48,29;;;;;;
0,224;-0,034045872;0,030019368;1,018084608;-0,53149;-1,67153;9,76712;0;;;;7;C;50,53;51,01;;;;;;
0,225;-0,001708461;0,063699286;1,046395515;-0,48294;-1,74259;9,99897;0;;;;8;FN;58,04;59,24;;;;;;
0,265;0,007077472;0,06040367;0,941695209;-0,45631;-1,76103;10,25075;0;;;;9;C;63;63,88;;;;;;
0,305;-0,030507645;0,107507645;0,993678899;-0,43636;-1,81703;10,53082;0;;;;10;FN;73,98;76,3;;;;;;
0,344;0,022697248;0,037219164;0,956460754;-0,3954;-1,90489;10,84021;0;;;;11;A;80;81,7;;;;;;
0,386;-0,047834862;0,112022426;1,006858308;-0,42236;-1,95391;11,17574;0;;;;12;FN;83,53;86,21;;;;;;
0,423;0,045150866;0,068702345;0,863840979;-0,37882;-2,01137;11,54104;0;;;;13;FN;87,49;88,414;;;;;;
0,425;-0,03624261;0,095426096;0,989530071;-0,37882;-2,01137;11,54104;0;;;;14;FN;91,2;93,76;;;;;;
0,465;-0,020745158;0,019768603;0,999536188;-0,38915;-2,06708;11,91691;0;;;;15;D;98,52;126,4;;;;;;
0,515;-0,013179409;0,111777778;0,971103976;-0,36253;-2,11165;12,29745;0;;;;16;A;127,1;128,8;;;;;;
0,543;-0,044174312;0,046737003;1,033949032;-0,35752;-2,16638;12,68343;0;;;;17;C;131,9;133,6;;;;;;
0,583;-0,019890928;0,07785423;1,0482263;-0,29282;-2,17971;13,07972;0;;;;18;FN;138,7;141,2;;;;;;
0,637;-0,038927625;0,081148828;1,086786952;-0,29282;-2,17971;13,07972;0;;;;19;D;146,2;177,1;;;;;;
0,638;-0,01940265;0,076268094;1,016864424;-0,30034;-2,24929;13,45531;0;;;;20;A;178,5;180,3;;;;;;
0,664;-0,023551478;0,049787971;1,137429154;-0,24489;-2,27273;13,80289;0;;;;21;C;182;183,5;;;;;;
0,706;-0,019280326;0,091643221;1,049446483;-0,20681;-2,30693;14,11838;0;;;;22;C;187,5;188,6;;;;;;
0,744;-0,005491335;0,017205912;1,145604485;-0,19575;-2,32253;14,38906;0;;;;23;C;197,9;199,1;;;;;;
0,783;-0,034411825;0,07504791;1,058964322;-0,16485;-2,27972;14,6134;0;;;;24;GD;203,4;205,5;;;;;;
0,822;-0,02977472;0,025259939;1,113267074;-0,1114;-2,26258;14,78836;0;;;;25;FN;205;208,7;;;;;;
0,825;0,009517839;0,010250765;1,088861366;-0,1114;-2,26258;14,78836;0;;;;26;FM;209,7;213,3;;;;;;
0,865;-0,054302752;-0,00085423;1,044809378;-0,08303;-2,19904;14,90581;0;;;;27;D;216,8;228,9;;;;;;
0,905;-0,03148318;0,043686035;0,986845056;-0,04984;-2,1616;14,97189;0;;;;28;A;229,3;231;;;;;;
0,943;-0,017937819;0,045760449;0,888367992;-0,05466;-2,0997;15,00046;0;;;;29;C;233,1;234;;;;;;
0,983;-0,030751274;0,001708461;1,050666667;-0,03981;-2,06228;14,98991;0;;;;30;FN;242,8;244,2;;;;;;
1,024;0,003050968;0,02050051;0,891784913;-0,03981;-2,06228;14,98991;0;;;;31;D;249,7;278,8;;;;;;
1,026;-0,022087666;-0,022087666;0,996363914;-0,03981;-2,06228;14,98991;0;;;;32;A;282,2;283,4;;;;;;
1,064;-0,013788991;0,037706422;0,884097859;-0,05827;-1,97857;14,94897;0;;;;33;C;287,6;2888;;;;;;
1,104;0,001220183;0,002196738;0,894592253;-0,08093;-1,94641;14,88958;0;;;;34;C;293,9;294,6;;;;;;
1,155;0,004514781;0,048567788;0,955727829;-0,12119;-1,91891;14,81804;0;;;;35;FM;308,5;311;;;;;;
1,182;0,069434251;0,000488277;0,896422018;-0,15396;-1,90337;14,74143;0;;;;36;GD;309,8;312;;;;;;
1,222;0,019158002;0,021477064;0,934861366;-0,24572;-1,86688;14,67901;0;;;;37;FM;313,7;316,9;;;;;;
1,224;0,007688073;0,018670744;0,942183486;-0,24572;-1,86688;14,67901;0;;;;38;D;319,6;326,7;;;;;;
1,264;0,064187564;0,000976555;1,05750051;-0,27152;-1,87114;14,62632;0;;;;39;A;327,1;328,8;;;;;;
1,304;-0,001586137;-0,006955148;0,998072375;-0,35609;-1,8348;14,59215;0;;;;40;C;335,4;336,9;;;;;;
1,345;0,074559633;-0,048933741;1,032727829;-0,36697;-1,80204;14,58415;0;;;;41;C;341,3;342,3;;;;;;
1,382;-0,061380224;0,011959225;1,035046891;-0,41961;-1,75942;14,60502;0;;;;42;C;347,1;348;;;;;;
1,425;0,031727829;-0,034411825;1,066164118;-0,38939;-1,71124;14,64859;0;;;;43;FN;355,1;358,9;;;;;;
1,426;-0,023917431;0,011470948;1,023820591;-0,38939;-1,71124;14,64859;0;;;;;;;;;;;;;
1,462;0,063454638;0,028066259;1,188803262;-0,37864;-1,69715;14,70401;0;;;;;;;;;;;;;
1,504;-0,037828746;-0,014277268;0,966466871;-0,40825;-1,68636;14,76659;0;;;;;;;;;;;;;
1,543;0,052594292;0,015131498;1,105701325;-0,35185;-1,63692;14,83467;0;;;;;;;;;;;;;
1,582;-0,023063201;-0,019280326;0,995632008;-0,34254;-1,65399;14,90256;0;;;;;;;;;;;;;
1,621;-0,017937819;0,060648318;1,184409786;-0,29767;-1,62406;14,96564;0;;;;;;;;;;;;;
1,676;0,02135474;0,071874618;1,012104995;-0,29767;-1,62406;14,96564;0;;;;;;;;;;;;;
1,676;0,008785933;-0,023551478;1,138283384;-0,3131;-1,62544;15,00844;0;;;;;;;;;;;;;
1,702;-0,005247706;-0,008542304;0,998072375;-0,29689;-1,55959;15,02998;0;;;;;;;;;;;;;
1,742;0,022453619;0,013057085;0,97683894;-0,27309;-1,54917;15,03299;0;;;;;;;;;;;;;
1,783;-0,009396534;0,017571865;0,919607543;-0,26517;-1,49691;15,00976;0;;;;;;;;;;;;;
1,822;-0,040025484;0,049055046;0,998072375;-0,26517;-1,49691;15,00976;0;;;;;;;;;;;;;
1,861;0,005979613;-0,003782875;1,005027523;-0,15917;-1,44706;14,9583;0;;;;;;;;;;;;;
1,863;-0,046980632;-0,01488787;1,009176351;-0,15917;-1,44706;14,9583;0;;;;;;;;;;;;;
1,903;-0,03062895;0,009884811;0,918997961;-0,11626;-1,38996;14,87243;0;;;;;;;;;;;;;
1,951;-0,024649337;-0,016474006;1,004295617;-0,05741;-1,3586;14,76747;0;;;;;;;;;;;;;
1,982;-0,035510703;0,017328236;0,975130479;-0,05734;-1,32721;14,63482;0;;;;;;;;;;;;;
2,021;0,061014271;-0,031117227;0,994899083;-0,01567;-1,30331;14,48821;0;;;;;;;;;;;;;
2,062;-0,002196738;0,047468909;0,929492355;-0,06095;-1,27714;14,32876;0;;;;;;;;;;;;;
2,063;-0,03624261;-0,026846075;1,027237513;-0,06095;-1,27714;14,32876;0;;;;;;;;;;;;;
2,102;-0,011836901;-0,001830785;0,975130479;-0,02991;-1,22659;14,16658;0;;;;;;;;;;;;;
2,142;0,023429154;0,017816514;1,071167176;-0,03145;-1,20001;14,00287;0;;;;;;;;;;;;;
2,196;-0,025748216;-0,009030581;1,085689093;-0,03291;-1,16645;13,8425;0;;;;;;;;;;;;;
2,22;0,042954128;-0,003905199;1,044198777;-0,01702;-1,14603;13,68607;0;;;;;;;;;;;;;
2,26;-0,020256881;0,002196738;0,94620999;-0,03268;-1,13893;13,5329;0;;;;;;;;;;;;;
2,263;0,043442406;-0,025625892;1,093254842;-0,03268;-1,13893;13,5329;0;;;;;;;;;;;;;
2,303;-0,048567788;0,02501631;1,00832212;-0,06309;-1,106;13,38263;0;;;;;;;;;;;;;
2,342;0,036852192;0,014520897;1,075438328;-0,02602;-1,10532;13,23724;0;;;;;;;;;;;;;
2,381;-0,035388379;-0,007565749;0,965978593;-0,0481;-1,10489;13,09443;0;;;;;;;;;;;;;
2,421;0,054668705;0,004026504;0,988675841;-0,04592;-1,0774;12,95582;0;;;;;;;;;;;;;
2,465;-0,037340469;0,030140673;0,990627931;-0,0481;-1,08703;12,82092;0;;;;;;;;;;;;;
2,466;0,045150866;0,010372069;0,943281346;-0,0481;-1,08703;12,82092;0;;;;;;;;;;;;;
2,503;-0,040513761;0,021599388;1,02687054;-0,06162;-1,06002;12,68952;0;;;;;;;;;;;;;
2,542;0,035997961;-0,002318043;1,023698267;-0,03244;-1,05787;12,56225;0;;;;;;;;;;;;;
2,582;0,022087666;0,039537207;0,97683894;-0,083;-1,02872;12,43748;0;;;;;;;;;;;;;
2,62;0,019280326;0,041489297;1,091180428;-0,08636;-1,00435;12,30147;0;;;;;;;;;;;;;
2,66;0,004393476;-0,008908257;0,937912334;-0,09492;-1,01451;12,15994;0;;;;;;;;;;;;;
2,662;0,010616718;-0,042710499;1,057012232;-0,09492;-1,01451;12,15994;0;;;;;;;;;;;;;
2,717;-0,023673802;0,082247706;0,879582059;-0,07326;-0,96557;11,99963;0;;;;;;;;;;;;;
2,741;-0,007565749;-0,072607543;1,088861366;-0,06408;-0,99191;11,82926;0;;;;;;;;;;;;;
2,78;-0,037462793;0,080050968;1,183433231;-0,00281;-0,96811;11,64019;0;;;;;;;;;;;;;
2,824;0,005979613;0,060525994;0,772075433;0,01151;-0,96467;11,43957;0;;;;;;;;;;;;;
2,86;-0,007443425;0,01208053;1,201249745;0,09482;-0,96315;11,22011;0;;;;;;;;;;;;;
2,863;-0,045150866;0,000122324;0,92204791;0,09482;-0,96315;11,22011;0;;;;;;;;;;;;;
2,902;-0,010372069;0,035876656;1,260189602;0,13555;-0,99294;10,97468;0;;;;;;;;;;;;;
2,941;-0,068336391;0,05564526;0,947918451;0,21755;-0,9637;10,71712;0;;;;;;;;;;;;;
2,981;0,036364934;0,035266055;1,047493374;0,27556;-0,99726;10,45219;0;;;;;;;;;;;;;
3,02;-0,128984709;0,083223242;1,003807339;0,3053;-1,04229;10,18507;0;;;;;;;;;;;;;
3,06;0,071020387;0,105310907;0,948040775;0,31785;-1,06247;9,91659;0;;;;;;;;;;;;;
3,063;-0,071020387;-0,049787971;1,015644241;0,31785;-1,06247;9,91659;0;;;;;;;;;;;;;
3,104;0,011714577;0,113120285;0,958046891;0,3147;-1,14115;9,64856;0;;;;;;;;;;;;;
3,141;0,007199796;0,005857288;0,945355759;0,29572;-1,18207;9,38053;0;;;;;;;;;;;;;
3,181;-0,092985729;0,043197757;1,138038736;0,28314;-1,17034;9,11357;0;;;;;;;;;;;;;
3,22;-0,04356473;0,060891947;0,884219164;0,34427;-1,18284;8,86704;0;;;;;;;;;;;;;
3,259;0,02050051;0,042343527;1,15756371;0,33311;-1,22361;8,633;0;;;;;;;;;;;;;
3,262;-0,125445464;0,071508665;0,916923547;0,33311;-1,22361;8,633;0;;;;;;;;;;;;;
3,302;0,065529052;0,08541998;1,087763507;0,42283;-1,27987;8,4278;0;;;;;;;;;;;;;
3,343;-0,075902141;0,086517839;0,966832824;0,39636;-1,35099;8,23815;0;;;;;;;;;;;;;
3,381;0,066017329;0,119099898;1,070190622;0,41636;-1,42896;8,06252;0;;;;;;;;;;;;;
3,42;0,005857288;0,039537207;0,937301733;0,36371;-1,52266;7,90874;0;;;;;;;;;;;;;
3,459;-0,002685015;0,084688073;0,87653211;0,32095;-1,51475;7,77227;0;;;;;;;;;;;;;
3,462;-0,024405708;0,028920489;0,952189602;0,32095;-1,51475;7,77227;0;;;;;;;;;;;;;
3,502;0,002074414;0,031727829;1,069215087;0,34808;-1,58795;7,66526;0;;;;;;;;;;;;;
3,541;-0,061136595;0,100673802;0,930224261;0,34334;-1,60985;7,57659;0;;;;;;;;;;;;;
3,58;0,020745158;0,045394495;1,094963303;0,366;-1,66519;7,50117;0;;;;;;;;;;;;;
3,625;-0,056987768;0,108361876;0,923756371;0,32975;-1,7019;7,43429;0;;;;;;;;;;;;;
3,658;0,03624261;0,05283792;1,062015291;0,36989;-1,74067;7,37655;0;;;;;;;;;;;;;
3,662;-0,044417941;0,074925586;1,024186544;0,36989;-1,74067;7,37655;0;;;;;;;;;;;;;
3,701;0,004759429;0,003172273;0,966589195;0,29024;-1,8667;7,3237;0;;;;;;;;;;;;;
3,741;0,037340469;0,16888787;1,060916412;0,28142;-1,85443;7,2949;0;;;;;;;;;;;;;
3,78;0,022331295;-0,00561366;0,914726809;0,17074;-2,01587;7,27598;0;;;;;;;;;;;;;
3,819;0,000488277;0,141797146;1,184898063;0,12713;-2,00084;7,27027;0;;;;;;;;;;;;;
3,861;0,106897044;0,077610601;0,910699286;0,0691;-2,08773;7,27065;0;;;;;;;;;;;;;
3,865;-0,057475025;0,0612579;1,144018349;0,0691;-2,08773;7,27065;0;;;;;;;;;;;;;
3,902;0,070288481;0,041856269;0,99819368;0,01404;-2,12725;7,27907;0;;;;;;;;;;;;;
3,94;-0,030262997;0,023185525;0,985747197;-0,00763;-2,18439;7,29374;0;;;;;;;;;;;;;
3,98;0,015619776;0,108727829;0,977571865;-0,00781;-2,20742;7,31486;0;;;;;;;;;;;;;
4,02;-0,055034659;0,074559633;0,951335372;-0,01709;-2,26667;7,33782;0;;;;;;;;;;;;;
4,058;0,04075739;0,024528033;1,074827727;0,00768;-2,2979;7,38365;0;;;;;;;;;;;;;
4,063;-0,028066259;0,068945973;0,969639144;0,00768;-2,2979;7,38365;0;;;;;;;;;;;;;
4,101;0,045394495;0,084077472;1,047981651;0,04074;-2,31016;7,44163;0;;;;;;;;;;;;;
4,147;-0,009517839;0,052960245;0,964636086;0,04076;-2,35446;7,505;0;;;;;;;;;;;;;
4,179;0,020745158;0,110923547;1,047127421;0,05279;-2,36921;7,57193;0;;;;;;;;;;;;;
4,219;-0,008176351;0,010494393;1,077635066;0,08049;-2,4288;7,64006;0;;;;;;;;;;;;;
4,258;-0,028554536;0,077488277;1,05750051;0,10215;-2,44553;7,72427;0;;;;;;;;;;;;;
4,261;-0,005734964;0,082247706;1,020769623;0,10215;-2,44553;7,72427;0;;;;;;;;;;;;;
4,299;-0,03709684;0,08627421;1,048713558;0,10903;-2,48349;7,81316;0;;;;;;;;;;;;;
