0;0;0;0;0;0;0;0;;;;# ;Evento;T inicial;T Final;A;C;FN;FM;FD;D
0,028;0,044097859;0,012767584;0,972552497;-0,88492;-0,03737;-49,60245;0;Fecha;3/08/2016;;1;C;23,45;24,76;16;14;15;2;3;6
0,029;0,017251784;0,003981651;1,097754332;-0,88492;-0,03737;-49,60245;0;Hora;10:17-10:26;;2;FN;31,76;35,99;;;;;;
0,069;-0,007397554;0,044373089;1,058826707;-0,88033;-0,05406;-49,62281;0;Ruta ;M80;;3;D;38,87;64,36;;;;;;
0,109;0,014079511;0,011913354;0,997202854;-0,87007;-0,06713;-49,64127;0;Trayecto;MN - Jave;;4;A;65,32;67,67;;;;;;
0,165;0,021888889;0,032413863;0,95156371;-0,90151;-0,08093;-49,65844;0;;;;5;C;71,27;72,97;;;;;;
0,189;0,020668705;0,014963303;1,052359837;-0,89693;-0,11277;-49,67461;0;;;;6;C;78,22;79,51;;;;;;
0,229;-0,040101937;0,06377472;0,945340469;-0,89693;-0,11277;-49,67461;0;;;;7;FN;84,25;86,98;;;;;;
0,231;0,031285423;0,022651376;1,111055046;-0,89693;-0,11277;-49,67461;0;;;;8;GI;99,48;101,7;;;;;;
0,272;-0,017525994;0,04327421;1,008551478;-0,84731;-0,19682;-49,69349;0;;;;9;FM;104,6;110,1;;;;;;
0,311;-0,043151886;0,035220183;0,924717635;-0,84839;-0,22738;-49,71371;0;;;;10;D;113,5;149,6;;;;;;
0,35;0,117437309;0,05987054;0,988050968;-0,84839;-0,22738;-49,71371;0;;;;11;A;149,6;151;;;;;;
0,392;-0,083299694;0,024604485;0,97938634;-0,88396;-0,32666;-49,73384;0;;;;12;FN;153,9;156;;;;;;
0,429;0,096448522;0,025091743;0,991589195;-0,88396;-0,32666;-49,73384;0;;;;13;A;157,1;158,8;;;;;;
0,434;0,018471967;0,01545158;1,009283384;-0,87227;-0,39212;-49,75261;0;;;;14;FN;159,4;160,7;;;;;;
0,472;0,000777778;0,002760449;0,949245668;-0,87227;-0,39212;-49,75261;0;;;;15;FN;168,6;170,6;;;;;;
0,511;0,058131498;-0,025061162;1,022462793;-0,89749;-0,40633;-49,77075;0;;;;16;D;176;196,3;;;;;;
0,561;0,016641182;-0,0317737;1,003060143;-0,89749;-0,40633;-49,77075;0;;;;17;A;196,8;197,7;;;;;;
0,589;0,015420999;0,027410805;1,049797146;-0,91508;-0,35585;-49,78814;0;;;;18;A;200;201;;;;;;
0,629;-0,04241998;0,015085627;0,973040775;-0,95732;-0,33121;-49,80508;0;;;;19;C;202,6;204,2;;;;;;
0,668;-0,009228338;0,030583078;0,96083792;-0,88141;-0,35062;-49,81593;0;;;;20;C;206,3;208,2;;;;;;
0,686;0,069846075;0,005933741;1,012456677;-0,88141;-0,35062;-49,81593;0;;;;21;C;211;211,8;;;;;;
0,71;-0,018014271;0,062799185;0,949977574;-0,89917;-0,37936;-49,82417;0;;;;22;GI;218,9;220,7;;;;;;
0,749;0,028600408;0,055721713;1,097632008;-0,8209;-0,44739;-49,82842;0;;;;23;FN;229,9;233,9;;;;;;
0,791;-0,013865443;0,06182263;1,060291539;-0,80574;-0,52006;-49,83112;0;;;;24;A;236,9;239;;;;;;
0,828;-0,070364934;0,065239551;0,867486239;-0,73267;-0,57583;-49,82961;0;;;;25;C;239,7;241,8;;;;;;
0,868;0,042755352;0,009228338;1,043939857;-0,73508;-0,62395;-49,82062;0;;;;26;FN;242,7;243,1;;;;;;
0,871;-0,082201835;0,029607543;1,036496432;-0,73508;-0,62395;-49,82062;0;;;;27;FD;243,6;247;;;;;;
0,913;-0,031681957;0,008862385;1,015751274;-0,62732;-0,64306;-49,78889;0;;;;28;D;249,7;266,5;;;;;;
0,953;0,027014271;0,061090724;1,042840979;-0,58579;-0,67277;-49,70478;0;;;;29;A;266,5;268,3;;;;;;
0,989;-0,050839959;0,102702345;0,949001019;-0,56681;-0,70458;-49,54155;0;;;;30;FN;273,5;275,1;;;;;;
1,028;0,004560652;0,0070316;0,970844037;-0,5121;-0,78281;-49,32942;0;;;;31;FN;279,4;281,3;;;;;;
1,068;-0,006299694;0,074879715;1,006843017;-0,52446;-0,79762;-49,10518;0;;;;32;D;284,8;310,1;;;;;;
1,071;0,054348624;0,020942915;0,97206524;-0,52446;-0,79762;-49,10518;0;;;;33;A;310,8;312;;;;;;
1,109;-0,0070316;0,044006116;0,960106014;-0,51045;-0,83105;-48,90906;0;;;;34;C;315;316,6;;;;;;
1,15;0,00956371;0,011547401;0,949367992;-0,54207;-0,85694;-48,72267;0;;;;35;FM;316,6;317,9;;;;;;
1,191;0,083269113;0,022285423;1,063097859;-0,58094;-0,87589;-48,56886;0;;;;36;A;320,2;321,6;;;;;;
1,227;-0,059138634;0,044616718;1,005134557;-0,62378;-0,88591;-48,44683;0;;;;37;C;323,73;325,3;;;;;;
1,267;0,09022528;0,034731906;1,01367686;-0,6036;-0,89865;-48,36451;0;;;;38;C;328,9;330,1;;;;;;
1,268;-0,015817533;0,043151886;0,995616718;-0,6036;-0,89865;-48,36451;0;;;;39;FN;332,5;334,3;;;;;;
1,311;-0,032779817;0,022163099;0,991466871;-0,61974;-0,93752;-48,31935;0;;;;40;A;336,4;337,9;;;;;;
1,35;0,006879715;0,037905199;1,064318043;-0,57302;-0,95786;-48,31608;0;;;;41;FD;342,6;344,9;;;;;;
1,389;0,009442406;0,022163099;1,05833945;-0,55458;-0,96686;-48,34219;0;;;;42;A;348,1;349,7;;;;;;
1,43;0,026160041;-0,001143731;1,068833843;-0,53698;-0,96055;-48,38525;0;;;;43;C;354,4;355,9;;;;;;
1,468;0,02530581;-0,009075433;0,947780836;-0,52941;-0,95189;-48,43578;0;;;;44;FN;369,7;370,7;;;;;;
1,472;0,086442406;-0,000534149;1,073470948;-0,52941;-0,95189;-48,43578;0;;;;45;FD;372,8;374;;;;;;
1,51;-0,000442406;0,001051988;0,900434251;-0,5809;-0,91034;-48,49525;0;;;;46;A;375,4;376,8;;;;;;
1,549;0,017251784;0,000930683;0,940946993;-0,56544;-0,88032;-48,61242;0;;;;47;A;377,8;378,36;;;;;;
1,589;0,024085627;0,011059123;0,925571865;-0,6024;-0,83972;-48,79302;0;;;;48;FN;381,6;383,5;;;;;;
1,628;-0,049253823;-0,011760449;0,942534149;-0,58971;-0,83107;-49,01622;0;;;;49;D;385,9;400,9;;;;;;
1,668;0,042755352;-0,012614679;1,007697248;-0,54706;-0,81907;-49,22554;0;;;;50;A;401,5;403;;;;;;
1,673;-0,048765545;-0,018471967;0,966817533;-0,54706;-0,81907;-49,22554;0;;;;51;FN;405,1;408,3;;;;;;
1,711;-0,014719674;0,002150866;0,987562691;-0,54401;-0,78536;-49,39348;0;;;;52;A;418,4;419,6;;;;;;
1,747;-0,021553517;0,024237513;0,956689093;-0,49039;-0,74806;-49,51997;0;;;;53;C;423,7;424,9;;;;;;
1,79;-0,013255861;-0,070700306;0,954980632;-0,46029;-0,7349;-49,61743;0;;;;54;C;430,5;431,5;;;;;;
1,828;0,099865443;-0,030674822;1,193180428;-0,4048;-0,69829;-49,68216;0;;;;55;FN;444,7;445,7;;;;;;
1,867;-0,058771662;0,062188583;0,929598369;-0,40728;-0,66041;-49,72136;0;;;;56;FN;448,8;451;;;;;;
1,871;0,011638124;0,043151886;0,992931702;-0,40728;-0,66041;-49,72136;0;;;;57;A;453,2;454,6;;;;;;
1,913;0,039460754;-0,01883792;0,99793476;-0,3844;-0,67721;-49,74048;0;;;;58;C;458,4;460;;;;;;
1,95;0,014445464;-0,019692151;0,988172273;-0,432;-0,6546;-49,74908;0;;;;;;;;;;;;;
1,988;0,114508665;-0,006635066;1,093239551;-0,43403;-0,65134;-49,7509;0;;;;;;;;;;;;;
2,028;-0,040590214;0,023993884;0,967549439;-0,52482;-0,62796;-49,75167;0;;;;;;;;;;;;;
2,067;0,067771662;-0,030797146;1,007940877;-0,50477;-0,61838;-49,74501;0;;;;;;;;;;;;;
2,07;0,020058104;-0,002608563;0,995860347;-0,50477;-0,61838;-49,74501;0;;;;;;;;;;;;;
2,11;0,033603466;0,062921509;1,025025484;-0,57225;-0,59079;-49,73634;0;;;;;;;;;;;;;
2,148;0,016153925;0,005567788;0,956566769;-0,55255;-0,60377;-49,72511;0;;;;;;;;;;;;;
2,188;-0,018990826;0,065605505;0,97011213;-0,5767;-0,61976;-49,70947;0;;;;;;;;;;;;;
2,238;-0,005201835;0,009228338;0,929843017;-0,55804;-0,68092;-49,69071;0;;;;;;;;;;;;;
2,267;-0,047057085;0,031437309;0,99061366;-0,5388;-0,69429;-49,67061;0;;;;;;;;;;;;;
2,269;0,001876656;-0,007489297;0,990369011;-0,5388;-0,69429;-49,67061;0;;;;;;;;;;;;;
2,307;0,029576962;0,00251682;1,043695209;-0,49618;-0,69875;-49,64552;0;;;;;;;;;;;;;
2,359;-0,06267686;0,022896024;1,009039755;-0,46988;-0,68652;-49,61766;0;;;;;;;;;;;;;
2,387;-0,003248726;0,008984709;0,968160041;-0,41845;-0,67443;-49,59274;0;;;;;;;;;;;;;
2,43;0,019326198;0,037294597;1,076277268;-0,42911;-0,68668;-49,56993;0;;;;;;;;;;;;;
2,469;-0,027166157;0,047788991;0,984755352;-0,42163;-0,72872;-49,54762;0;;;;;;;;;;;;;
2,508;0,033115189;0,04888787;1,053091743;-0,41099;-0,7784;-49,52562;0;;;;;;;;;;;;;
2,511;0,003828746;0,03766157;0,993908257;-0,41099;-0,7784;-49,52562;0;;;;;;;;;;;;;
2,548;-0,01459735;0,024237513;1,023194699;-0,41617;-0,81405;-49,50417;0;;;;;;;;;;;;;
2,588;0,009197757;0,014841998;1,073103976;-0,42438;-0,82786;-49,48286;0;;;;;;;;;;;;;
2,627;0,04495209;0,017891947;1,064318043;-0,41538;-0,83201;-49,46165;0;;;;;;;;;;;;;
2,665;-0,005689093;0,033878695;0,957055046;-0,43588;-0,82521;-49,43554;0;;;;;;;;;;;;;
2,705;-0,020576962;0,03314577;0,931185525;-0,45063;-0,83413;-49,4059;0;;;;;;;;;;;;;
2,706;0,027136595;0,044616718;0,95437105;-0,45063;-0,83413;-49,4059;0;;;;;;;;;;;;;
2,749;-0,020699286;0,063653415;0,96840367;-0,46679;-0,87069;-49,37423;0;;;;;;;;;;;;;
2,788;-0,01911315;0,083544343;0,936066259;-0,46679;-0,87069;-49,37423;0;;;;;;;;;;;;;
2,827;-0,016671764;0,044494393;0,981217125;-0,38335;-0,9839;-49,33569;0;;;;;;;;;;;;;
