0;0;0;0;0;0;0;0;;;;#;Evento;T Inicial;T Final;A;C;FN;FM;FD;D
0,023;-0,131302752;-0,031849134;1,035169215;1,00662;0,7337;-152,43802;0;Fecha;1708/16;;1;FN;4,31;5,7;4;5;6;0;1;1
0,023;0,023307849;-0,095792049;1,031020387;1,00662;0,7337;-152,43802;0;Hora;12:15-12:19;;2;FD;9,37;11,33;;;;;;
0,063;-0,158637105;-0,020745158;0,985624873;0,9546;0,7711;-152,42487;0;Ruta;L82;;3;A;13,49;15,09;;;;;;
0,104;0,008785933;0,016474006;1,349514781;1,14197;0,74525;-152,41971;0;Trayecto;Jave-MN;;4;C;18,36;19,56;;;;;;
0,153;-0,185971458;-0,028066259;1,122297655;1,06284;0,75247;-152,42064;0;;;;5;C;23,24;24,64;;;;;;
0,183;-0,092009174;-0,059671764;1,116683996;1,18338;0,77949;-152,43008;0;;;;6;FN;28,11;28,47;;;;;;
0,223;0,066383282;-0,073217125;0,952067278;1,10663;0,86282;-152,44235;0;;;;7;A;40,02;41,02;;;;;;
0,226;-0,164982671;0,02135474;0,937058104;1,10663;0,86282;-152,44235;0;;;;8;C;55,17;56,16;;;;;;
0,276;-0,010006116;-0,053692151;1,05188685;1,09042;0,8751;-152,45877;0;;;;9;GD;65,79;66,47;;;;;;
0,306;-0,035754332;0,06967788;1,11961264;1,03087;0,97389;-152,47766;0;;;;10;FN;66,59;69,35;;;;;;
0,344;0,023673802;-0,056620795;0,865304791;1,03087;0,97389;-152,47766;0;;;;11;A;76,38;78,06;;;;;;
0,385;-0,009762487;-0,071508665;0,825279307;0,74635;1,08933;-152,49092;0;;;;12;FN;79,67;81,45;;;;;;
0,423;0,058207951;0,024649337;0,930590214;0,60148;1,16274;-152,50388;0;;;;13;D;85,85;93,96;;;;;;
0,426;-0,083711519;-0,029653415;1,049446483;0,60148;1,16274;-152,50388;0;;;;14;A;94,3;96;;;;;;
0,465;0,029531091;-0,054059123;1,03053211;0,60148;1,16274;-152,50388;0;;;;15;C;104,8;106,3;;;;;;
0,504;0,03148318;-0,026480122;1,116683996;0,49077;1,24124;-152,55429;0;;;;16;FN;121,8;123,4;;;;;;
0,543;-0,044174312;-0,05283792;0,89703262;0,37048;1,26329;-152,56078;0;;;;17;C;132,1;133,2;;;;;;
0,582;0,032337411;-0,102259939;0,940718654;0,39627;1,30144;-152,57706;0;;;;18;FN;146,8;149,5;;;;;;
0,625;0,107385321;-0,059062181;0,893249745;0,32012;1,33749;-152,5945;0;;;;;;;;;;;;;
0,662;0,005125382;-0,0657737;1,019427115;0,32012;1,33749;-152,5945;0;;;;;;;;;;;;;
0,664;0,023551478;0,001097859;1,069092762;0,29739;1,36233;-152,61499;0;;;;;;;;;;;;;
0,704;-0,01208053;0,141431193;1,21516106;0,23371;1,40884;-152,6346;0;;;;;;;;;;;;;
0,744;-0,056133537;-0,088714577;0,964026504;0,19477;1,4364;-152,65443;0;;;;;;;;;;;;;
0,797;0,066993884;-0,161443425;0,859813456;0,22782;1,51346;-152,67133;0;;;;;;;;;;;;;
0,822;0,146800204;-0,051008155;1,05188685;0,136;1,54356;-152,6817;0;;;;;;;;;;;;;
0,862;0,007931702;-0,070166157;1,01479001;0,136;1,54356;-152,6817;0;;;;;;;;;;;;;
0,865;0,046248726;-0,119588175;1,16598369;0,15595;1,56782;-152,69321;0;;;;;;;;;;;;;
0,904;0,001586137;-0,067482161;0,977937819;0,08534;1,6592;-152,70088;0;;;;;;;;;;;;;
0,945;-0,00085423;-0,143017329;0,88775841;0,12112;1,68205;-152,71121;0;;;;;;;;;;;;;
0,983;0,03514475;-0,032093782;1,091546381;0,18711;1,76743;-152,72192;0;;;;;;;;;;;;;
1,022;-0,029042813;-0,07895209;1,106067278;0,18711;1,76743;-152,72192;0;;;;;;;;;;;;;
1,063;-0,064797146;-0,005003058;1,167326198;0,31468;1,81089;-152,78717;0;;;;;;;;;;;;;
1,064;0,043197757;-0,11214475;0,821252803;0,33152;1,80276;-152,81667;0;;;;;;;;;;;;;
1,103;-0,03795107;-0,054059123;0,877019368;0,35759;1,86287;-152,85057;0;;;;;;;;;;;;;
1,143;0,045760449;-0,092253823;0,99904791;0,47316;1,89386;-152,89055;0;;;;;;;;;;;;;
1,183;-0,025991845;-0,076634047;1,120832824;0,53416;1,9629;-152,93153;0;;;;;;;;;;;;;
1,221;-0,011959225;-0,096036697;1,14462895;0,53416;1,9629;-152,93153;0;;;;;;;;;;;;;
1,262;-0,089325178;-0,115194699;0,963415902;0,641;1,99404;-152,98132;0;;;;;;;;;;;;;
1,263;0,011104995;0,013057085;1,027969419;0,71611;2,05291;-153,03423;0;;;;;;;;;;;;;
1,302;-0,077365953;-0,051130479;1,197832824;0,78979;2,07515;-153,09827;0;;;;;;;;;;;;;
1,341;-0,096646279;-0,071142712;0,998072375;0,88421;2,13509;-153,17096;0;;;;;;;;;;;;;
1,38;0,048445464;-0,041489297;1,134744139;0,94254;2,19651;-153,24767;0;;;;;;;;;;;;;
1,424;-0,117391437;-0,119099898;0,884463812;0,94254;2,19651;-153,24767;0;;;;;;;;;;;;;
1,461;0,006101937;-0,094328236;1,086543323;0,97366;2,24802;-153,3311;0;;;;;;;;;;;;;
1,465;-0,02050051;-0,048567788;1,116561672;1,05991;2,29418;-153,42184;0;;;;;;;;;;;;;
1,502;-0,100551478;-0,086884811;0,978792049;1,00086;2,32552;-153,51015;0;;;;;;;;;;;;;
1,543;-0,027700306;-0,103114169;1,013203874;1,00086;2,32552;-153,51015;0;;;;;;;;;;;;;
1,589;0,003172273;-0,098111111;0,902523955;1,07588;2,47055;-153,70107;0;;;;;;;;;;;;;
1,621;-0,053082569;-0,076877676;1,080441386;1,07229;2,54622;-153,7963;0;;;;;;;;;;;;;
1,661;0,007199796;-0,137404689;0,995997961;1,07229;2,54622;-153,7963;0;;;;;;;;;;;;;
1,664;-0,004271152;-0,117513761;0,998560652;1,07229;2,54622;-153,7963;0;;;;;;;;;;;;;
1,705;-0,070288481;-0,107262997;1,104724771;1,07292;2,69582;-153,89186;0;;;;;;;;;;;;;
1,742;0,064187564;-0,106165138;1,050788991;1,06003;2,83095;-153,99455;0;;;;;;;;;;;;;
1,782;0,018304791;-0,171084608;0,924976555;0,93979;2,96184;-154,09729;0;;;;;;;;;;;;;
1,822;0,054546381;-0,125933741;0,96195209;0,89671;3,12835;-154,20613;0;;;;;;;;;;;;;
1,861;0,014277268;-0,138380224;1,080197757;0,75212;3,27907;-154,30511;0;;;;;;;;;;;;;
1,863;-0,087250765;-0,13911213;1,009542304;0,75212;3,27907;-154,30511;0;;;;;;;;;;;;;
1,905;0,085908257;-0,17901631;0,933275229;0,77442;3,47261;-154,41048;0;;;;;;;;;;;;;
1,943;-0,142896024;-0,107994903;1,097891947;0,75017;3,62235;-154,51071;0;;;;;;;;;;;;;
1,982;0,010372069;-0,156196738;1,092521916;0,84207;3,7532;-154,61603;0;;;;;;;;;;;;;
2,021;0,06772579;-0,175965341;0,785010194;0,8561;3,91381;-154,71446;0;;;;;;;;;;;;;
2,06;0,019280326;-0,135085627;1,068604485;0,81971;4,06215;-154,80731;0;;;;;;;;;;;;;
2,063;-0,005857288;-0,154;1,064333333;0,81971;4,06215;-154,80731;0;;;;;;;;;;;;;
2,104;0,04356473;-0,159857288;0,869453619;0,83149;4,23604;-154,90244;0;;;;;;;;;;;;;
2,142;-0,037340469;-0,170351682;1,087275229;0,8672;4,35324;-154,99831;0;;;;;;;;;;;;;
2,182;-0,0927421;-0,150217125;1,070801223;0,90373;4,53054;-155,09457;0;;;;;;;;;;;;;
2,239;0,078464832;-0,224776758;0,818567788;1,05412;4,68005;-155,20918;0;;;;;;;;;;;;;
2,26;-0,050642202;-0,111045872;1,054204893;1,05412;4,68005;-155,20918;0;;;;;;;;;;;;;
2,263;-0,07895209;-0,144848114;0,896300714;1,02246;4,79764;-155,31694;0;;;;;;;;;;;;;
2,303;0,086517839;-0,159003058;0,895933741;1,20759;4,89891;-155,44785;0;;;;;;;;;;;;;
2,343;-0,143383282;-0,100429154;0,990384302;1,1508;4,98913;-155,56126;0;;;;;;;;;;;;;
2,381;0,0112263;-0,127763507;0,837482161;1,1508;4,98913;-155,56126;0;;;;;;;;;;;;;
2,421;0,060648318;-0,14558002;0,861521916;1,21699;5,01647;-155,6877;0;;;;;;;;;;;;;
2,46;-0,140576962;-0,070654434;1,128154944;1,29379;4,98805;-155,81818;0;;;;;;;;;;;;;
2,463;0,060282365;-0,139600408;0,878606524;1,29379;4,98805;-155,81818;0;;;;;;;;;;;;;
2,503;-0,068823649;-0,096036697;0,981720693;1,29651;4,93709;-155,94322;0;;;;;;;;;;;;;
2,544;-0,012325178;-0,109703364;1,076902141;1,34779;4,91035;-156,0742;0;;;;;;;;;;;;;
2,581;-0,036486239;-0,086517839;0,902889908;1,34191;4,89109;-156,19998;0;;;;;;;;;;;;;
2,626;0,005734964;-0,09359633;1,113267074;1,38098;4,81635;-156,32846;0;;;;;;;;;;;;;
